PP,Demand,Wind
0.3336635153898632,6.672359,19.33851623049444
1.3456598227058918,6.6632515,16.223264425642576
2.423710464801664,6.6062755,12.760449215038843
2.94951267374949,6.6831785,11.390917477946795
2.904417351869069,6.7255105,11.657646600245789
1.4878201660477777,6.7326945,16.001413489930343
2.55504439556379e-10,6.705248,24.37348616979495
2.5632857007950573e-10,6.5804935,23.355595446784143
2.523602402086308e-10,6.4406775,29.11095122337406
2.523171530114685e-10,6.442961,29.21489630422519
2.5507081841687796e-10,6.356431,24.524399791249245
0.38005925950725444,6.209821,17.78582711732474
0.9850770878359035,5.9338295,15.09798492102416
1.2767394831181174,5.674348,13.416518254907924
1.089462650715799,5.4942525,13.4384275442238
1.400776505996262,5.2504695,11.744900923313516
1.4958113973715867,5.135513,11.104245138524714
1.6061389958307468,5.073398,10.578145723100203
0.5483897228644824,5.0793125,13.823242318432445
2.5174927050006205e-10,5.1860655,16.01073763837764
2.5917448233594186e-10,5.475983,19.37433399104961
2.5782909587669045e-10,5.8664435,20.992819287014253
6.072362460666567,6.5854885,1.5654792487748126
5.858914474023802,6.811661,2.9067028390563125
6.50317771348696,6.89589,1.1981129198001077
6.620485572702208,6.8012535,0.5514988856942314
6.5390818953571115,6.6869535,0.451136594829491
6.536974101353412,6.7000745,0.4975976178564819
6.350243548149365,6.686966,1.0272953835926324
5.856248365079523,6.627863,2.3540935484743164
5.436525533890011,6.5722035,3.4648023143329088
5.581668079580517,6.4142445,2.540079841877237
5.84949787940926,6.2865875,1.3335022557242682
6.123102171123085,6.3159335,0.588302719118948
5.760039866106939,6.2494145,1.4930168720584653
5.4927541619945535,6.1008415,1.8551935313943089
4.835959344254934,5.8565535,3.1136969268024908
4.9016445456013855,5.611006,2.1641673807177915
5.027561061899496,5.3904545,1.10713957860815
4.763868571445537,5.207469,1.3533658642155864
4.339599975115839,5.072777,2.236825516364718
3.9260332886544123,5.0032715,3.286510400988317
3.5372659998044256,4.978444,4.396842255613647
3.1541814795660104,5.0503325,5.784904382490572
4.12124787488339,5.187619,3.253356367337764
5.303639337438438,5.4142185,0.33736230749016594
4.828496932242597,5.488836,2.014606604057593
4.81800238821298,5.698078,2.6849935524984625
5.195996595289819,5.8702855,2.057165699846753
5.555557099522,5.899037,1.0479114592963403
5.759512252759969,5.902496,0.43622438222230026
5.825245821510805,5.9303805,0.3207519112574956
5.8283306771472505,5.9267725,0.3003328995439044
5.7166194072139795,5.889763,0.528238056643795
5.728280318432571,5.8946905,0.5076953152471579
5.712800903938492,5.885268,0.5261741551803145
